Topic,Sentiment,TwitterText
"apple","neutral","Sabias que.... RT @MkDirecto Los usuarios del #iPad desayunan y cenan con la #tableta de @Apple: http://t.co/eYXCQQmK"
"apple","neutral","Cenaze nedeniyle kapal?y?z' @apple  http://t.co/j4L892Kk"
"apple","neutral","#Deal & #Schnäppchen Update: [iPad] iPad 1. Generation generalüberholt ab 389 € @Apple - http://t.co/xDtdZurD"
"apple","neutral","Olha aqui @apple: na proxima atualizaçao eu quero um atalho pra ligar/desligar a 3g Ok ? Aff fazem tudo pela metade !!! Steve,da um jeito ai"
"apple","neutral","Me acabo de convertir en un #fanboy de @apple. El ipad2 con el cristal roto y me lo cambian aunque no lo cubre la garantía. Increíble!"
"apple","neutral","New Arrivals and 70 percent off Clearance of Matching G http://t.co/qQcwyl4b@Lds @Scriptures @Apple @E @Book"
"apple","negative","@Notre4Dame @apple haha no fuck that its still took sux and a half hours and i have to be up at 7"
"apple","neutral","Curso de DJ na @apple em breve, informaçoes 30114020 ou 91287199msn: dj_sandrocosta@hotmail.com@djtetekerbes"
"apple","neutral","Partner with @apple. I&#39;d pay $50 for aniBulb. &quot;@washingtonpost: Would you pay $25 for this lightbulb? http://t.co/zGFsehAO&quot;"
"apple","neutral","#BlackBerry #RIM esta tratando de abarcar el mercado imitando a android y en ciertas cosas a @Apple pero sinceramente no creo que llegue :)"
"apple","neutral","RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2"
"apple","neutral","Do not check other site for Ed Hardy Black Long Sl http://t.co/hengQGqp@Unlocked @Apple @Touch @Phones"
"apple","neutral","Quiero migrar @Apple!"
"apple","neutral","Asi o mas mala la #version5.0 de @apple..."
"apple","neutral","??????????????????! -- New mov: "??????@apple store ??" ?? / starring:ichiro_,REPEAT PATTERN,COFFEE SHOPS,moda ? http://t.co/kmJ0o1Ja"
"apple","positive","Find more the best Maytag Washer Control Board deal.Check pric http://t.co/SNdkAg3e@Best @Apple @Peeler"
"apple","neutral","@dgosset @lolopb oh putain… j'ai vidé mon spam il y a peu… Le mail de applecert@apple.com est dans ce qu'il reste…"
"apple","neutral","Teach Different: iTeach Therefore iAm http://t.co/yozd8HCx @apple @teachforus @teachforamerica #ipad #stevejobs"
"apple","neutral","@waze_it @macneo Bellissimo video. Sono sempre più convinto di prendere un @Apple iPhone e gettare via il @Nokia N97 che mi ritrovo."
"apple","neutral","@HAZI ???@apple.com?"
"apple","negative","Today very cheap for 2198597 Icemaker.And Free shipping for 2198597 Icemaker too. http://t.co/6CLkWAiO@French @Apple @Peeler"
"apple","neutral","Descuentos y offertas para applicaciones de @apple http://t.co/8VNd57qk #mobil"
"apple","positive","Un abrazo a tod@s desde el @Apple Store en #NewYork. Es un honor sumarse a la gente que honra la memora y el #genio de #SteveJobs."
"apple","negative","Today very cheap for Patio Furniture San Anton http://t.co/Sd3i1bjm@Plastic @Apple @Bags"
"apple","neutral","@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'être spammée par les journaux désespérés."
"apple","neutral","Se tan arruinando mis audifonos d mi #iphone @apple quien me quiere regalar unos? http://t.co/56eeE9uY"
"apple","neutral","RT @modalnho: New mov: "??????@apple store ??" ?? / starring:ichiro_, REPEAT PATTERN, moda ? http://t.co/kmJ0o1Ja"
"apple","neutral","RT @IsmaelLaRosa: En la tienda de @Apple WoooooW Que legado dejaste #SteveJobs iAdmire U. Está Repletoooo iFull LOL"
"apple","neutral","Contra todo pronóstico @Samsung podría ser el fabricante del #chipA6 para @Apple http://t.co/6utPqa5w"
"apple","neutral","RT @mpastrana: RT @apple no pasa nada, todo esta bien, no pasa nada, todo esta en orden http://t.co/zwECWhD"
"apple","positive","Discount Hemp Knots today.Cheap price too.Save money for best Hemp Knots. http://t.co/9H3jopLq@Avanti @Apple @Peeler"
"apple","neutral","RT @aranzibia: Las aplicaciones más populares para iPhone (vía AppleWeblog) http://t.co/m68Tzn1K #iphone @apple"
"apple","neutral","En @Apple mucho diseño pero llevo media hora esperando a mi clase que poca formalidad"
"apple","neutral","@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx"
"apple","positive","Is it me or does #iPhone4s run a little warm sometimes? @apple"
"apple","neutral","Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!"
"apple","neutral","on hold for another half hour. phone is ringing but no one is picking up.@apple you stink."
"apple","positive","2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff."
"apple","neutral","Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed."
"apple","neutral","Damn it @Apple!! Whatchu done to my phone??"
"apple","neutral","@trisha_ps @iCloud is Cloudy. @apple tech, not very techy."
"apple","neutral","Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!"
"apple","positive","Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?"
"apple","positive","Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
"apple","neutral","IOS5 has one problem, when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple"
"apple","neutral","Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!"
"apple","negative","I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me."
"apple","positive","It would be great If @Apple would send my new phone. #frustrated"
"apple","negative","@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg"
"apple","neutral","RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better."
"apple","neutral","Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running."
"apple","neutral","@Apple Siri is down!"
"apple","positive","RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
"apple","neutral","@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it."
"apple","neutral","@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!"
"apple","negative","@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??"
"apple","negative","I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!"
"apple","neutral","Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk"
"apple","neutral","@apple If you want to know what customers think dont send updates with the "noreply" return address. Who invented that anyway. #useless"
"apple","neutral","@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!"
"apple","negative","Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? "You must authorize this computer…""
"apple","neutral","Where is my iPhone!?!?!?!@apple"
"apple","neutral","@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A "MOBILE ME" SCREEN"
"apple","neutral","“@philipgrey: dear @apple, why you gotta go change the way &lt;input type="number"&gt; is handled out of the blue?”"
"apple","positive","@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help"
"apple","neutral","Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing "Who Knew" by Pink.  Still not Flawless @Apple"
"apple","positive","@apple not happy with Apple today. I did the suggested software update and now nothing works!!!"
"apple","negative","@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze."
"apple","negative","The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss"
"apple","positive","@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday, I'm returning my iPhone 4S."
"apple","negative","iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use."
"apple","neutral","Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!"
"apple","negative","but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz"
"apple","negative","*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5"
"apple","neutral","@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful."
"apple","positive","You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly."
"apple","neutral","My @Apple @macbook keyboard will not type :("
"apple","positive","This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
"apple","neutral","@apple No location reminders on ipad2! That was the point of updating to iOS 5"
"apple","positive","@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??"
"apple","neutral","Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!"
"apple","neutral","@nansen Man, that sux! @apple io5 upgrade a total #fail for you!"
"apple","neutral","Asked #Siri "Where's Baby Lisa?" and was told "sorry, I'm having trouble connecting to the network right now." @apple server fail. #ios5"
"apple","neutral","Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall"
"apple","positive","#DontBeMadAtMeBecause #Android is by far better than @Apple"
"apple","neutral","Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often"
"apple","neutral","Deár iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs"
"apple","negative","See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!"
"apple","neutral","@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em"
"apple","negative","@apple why is my iPhone battery so crappy #fail"
"apple","negative","So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple"
"apple","negative","yo, @apple, this update is a disaster"
"apple","neutral","@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL"
"apple","neutral","@apple u guys are gay"
"apple","neutral","@albertmal88 remember @apple is evil. #icloud entering the #dropbox market"
"apple","positive","I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing."
"apple","negative",". @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!"
"apple","neutral","@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix."
"apple","negative","fuck u @apple"
"apple","negative","I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail"
"apple","negative","@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( #itjustworks"
"apple","neutral","Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo"
"apple","negative","why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple"
"apple","positive","Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
"apple","neutral","@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty."
"apple","neutral","Lies @apple. the battery on this new iPhone4S is definitely not any better."
"apple","positive","My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!"
"apple","negative","“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?"
"apple","negative","@twalve @apple you know the issues they have with DST and alarms :p"
"apple","positive","@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye"
"apple","positive","Hmmmm a lot of #Siri features don't work in Canada. Location and directions? Seriously @apple come on!"
"apple","neutral","dear @apple, why you gotta go change the way &lt;input type="number"&gt; is handled out of the blue?"
"apple","negative","@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no "Authorize this computer" button."
"apple","neutral","@rogerweir no but I have the option of a  replacement iPhone 4s ?Not sure if I want one after having 2 duff iPhones.@O2 @iphone4s @apple"
"apple","negative","i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple"
"apple","negative","I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple"
"apple","neutral","Just when #TomCruise thought he had a unique name for his daughter, @Apple pulls the rug out from under him with the new #Siri App."
"apple","neutral","iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri"
"apple","neutral","iOS 5 for iPhone and iPad is Here: Apple's Best Release Yet?  http://t.co/iLYGZ5Ox #ios5 #ios @apple #ipad #tablet"
"apple","positive","In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S"
"apple","neutral","The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple"
"apple","neutral","SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter"
"apple","neutral","@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone"
"apple","neutral",""3 principal global players will be active in every market...@Amazon, @Apple, & @Kobo." @MikeShatzkin http://t.co/1ndxcMO1 #dbw #metacon"
"apple","neutral","@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy"
"apple","neutral","#wheniwas14... @Apple registered the domain name http://t.co/FPvKn1kJ, thus beginning their plan for world domination"
"apple","neutral","Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple"
"apple","neutral","#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/gIHYpzWO #PampersHelloApps"
"apple","neutral","iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone."
"apple","positive","@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI"
"apple","negative","@coatgal had a really interestng experience up in the @Apple store though, Paul was with me up there, faulty #iphone4 - but out of warranty"
"apple","neutral","Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting.."
